,ordernumber,orderdate,channel,order_quantity,unit_price,revenue,total_unit_cost,profit_per_unit,customer_names,product_name,county,state_code,state,region_type,latitude,longitude,population,region,2017_budgets
0,SO - 0002544,2017-01-01,Wholesale,6,1239.5,7437.0,1028.7849999999999,210.71500000000015,NCS Group,Product 30,Hudson County,NJ,New Jersey,City,40.77955,-74.02375,69156,Northeast,1011609.684
1,SO - 0006431,2017-01-01,Wholesale,5,1829.1000000000001,9145.5,1207.2060000000001,621.894,Epic Group,Product 13,Mesa County,CO,Colorado,City,39.06387,-108.55065,60358,West,3720639.645
2,SO - 0007491,2017-01-01,Wholesale,9,2412.0,21708.0,1664.28,747.72,State Ltd,Product 15,Los Angeles County,CA,California,City,33.96168,-118.35313,111666,West,3299478.315
3,SO - 0008741,2017-01-01,Wholesale,8,904.5,7236.0,750.735,153.765,Fivebridge Ltd,Product 8,Dubuque County,IA,Iowa,City,42.50056,-90.66457,58799,Midwest,1085037.3290000001
4,SO - 0009295,2017-01-01,Wholesale,12,1112.2,13346.400000000001,811.9060000000001,300.294,Tagfeed Ltd,Product 2,Hernando County,FL,Florida,CDP,28.47689,-82.52546,100270,South,3050087.565
5,SO - 0009270,2017-01-01,Wholesale,11,3865.9,42524.9,2087.5860000000002,1778.3139999999999,Rhynoodle Ltd,Product 2,Erie County,PA,Pennsylvania,City,42.12922,-80.08506,99475,Northeast,3050087.565
6,SO - 0008849,2017-01-01,Wholesale,9,187.6,1688.3999999999999,116.312,71.288,Twinte Group,Product 23,Monterey County,CA,California,City,36.67774,-121.6555,157380,West,1135815.7580000001
7,SO - 0010564,2017-01-01,Distributor,8,944.7,7557.6,651.843,292.8570000000001,Accord Group,Product 3,Johnson County/Tarrant County/Ellis County,TX,Texas,City,32.56919,-97.12053,64274,South,2642352.432
8,SO - 0008694,2017-01-01,Distributor,5,1085.4,5427.0,672.9480000000001,412.452,Blogspan Ltd,Product 2,Rutherford County,TN,Tennessee,City,35.84562,-86.39027,126118,South,3050087.565
9,SO - 0009097,2017-01-01,Distributor,10,174.20000000000002,1742.0000000000002,130.65,43.55000000000001,CLINIQUE Ltd,Product 9,New Haven County,CT,Connecticut,City,41.53815,-72.80704,59988,Northeast,710415.405
10,SO - 0001333,2017-01-01,Wholesale,6,1139.0,6834.0,489.77,649.23,Wordpedia Ltd,Product 11,San Mateo County,CA,California,City,37.48522,-122.23635,85288,West,1230458.484
11,SO - 0002930,2017-01-01,Distributor,6,2512.5,15075.0,1582.875,929.625,Linklinks Ltd,Product 18,Palm Beach County,FL,Florida,City,26.82339,-80.13865,52923,South,2309499.045
12,SO - 0003538,2017-01-01,Wholesale,11,1051.9,11570.900000000001,831.0010000000001,220.899,Aimbo Corp,Product 4,St. Charles County,MO,Missouri,City,38.78394,-90.48123,68796,Midwest,2885560.824
